node_from,node_to,weight
PT.1393,PL.7511,1
PT.1394,PL.6867,1
GR.1395,PL.6873,1
GR.1395,PL.6877,1
GR.1395,PL.6985,1
GR.1396,PL.7107,1
GR.1396,PL.7264,1
PT.1397,FR.6546,1
PT.1398,GR.2052,1
PT.1398,GR.2439,1
GR.1399,GR.2497,1
GR.1399,GR.2624,1
GR.1400,GR.2439,1
GR.1400,GR.2741,1
GR.1401,FR.5292,1
GR.1401,FR.5427,1
GR.1402,GR.2562,1
GR.1402,GR.2657,1
GR.1403,BE.5877,1
GR.1403,BE.5887,1
GR.1403,BE.5896,1
PT.1404,GR.2499,1
PT.1404,GR.2806,1
PT.1405,GR.1565,1
PT.1405,GR.2407,1
PT.1406,GR.1565,1
PT.1406,GR.2271,1
GR.1408,GR.1567,1
GR.1408,GR.2271,1
GR.1416,GR.1569,1
GR.1417,GB.4001,1
GR.1417,GB.6552,1
GR.1418,GR.1571,1
ES.1432,GR.1572,1
ES.1433,GR.2177,1
GR.1434,GR.2455,1
GR.1434,GR.2806,1
GR.1438,GB.4000,1
GR.1438,GB.4100,1
GR.1438,GB.4101,1
GR.1438,GB.4102,1
GR.1438,GB.4103,1
GR.1438,GB.4104,1
GR.1438,GB.4109,1
GR.1438,GB.4149,1
GR.1438,GB.4150,1
GR.1438,GB.4160,1
GR.1438,GB.4161,1
GR.1438,GB.4175,1
GR.1438,GB.4289,1
GR.1438,GB.4291,1
GR.1438,GB.4292,1
GR.1438,GB.4368,1
GR.1438,GB.4379,1
GR.1438,GB.4381,1
GR.1438,GB.4394,1
GR.1438,GB.4399,1
GR.1438,GB.4429,1
GR.1438,GB.4432,1
GR.1438,GB.5568,1
GR.1438,GB.6558,1
GR.1438,GB.6583,1
GR.1438,GB.6597,1
GR.1438,GB.6599,1
GR.1438,GB.7485,1
ES.1441,GR.2185,1
ES.1441,GR.2463,1
ES.1444,GB.4390,1
ES.1444,GB.4410,1
ES.1444,GB.4411,1
ES.1446,GR.2464,1
ES.1446,GR.2654,1
ES.1451,GR.2050,1
ES.1452,GR.2372,1
ES.1452,GR.2591,1
ES.1453,GR.2033,1
ES.1453,GR.2221,1
ES.1453,GR.2569,1
GR.1460,RO.4641,1
GR.1460,RO.7842,1
GR.1462,RO.4599,1
GR.1462,RO.4651,1
GR.1462,RO.4759,1
GR.1462,RO.7590,1
GR.1463,RO.4689,1
GR.1463,RO.4763,1
GR.1463,RO.4803,1
GR.1464,RO.4691,1
GR.1464,RO.4818,1
ES.1465,RO.4603,1
ES.1465,RO.4705,1
ES.1469,RO.4746,1
ES.1469,RO.4747,1
ES.1469,RO.4752,1
ES.1471,RO.4893,1
ES.1471,RO.6358,1
ES.1471,RO.7586,1
ES.1472,RO.4771,1
ES.1473,RO.1614,1
ES.1473,RO.4770,1
ES.1473,RO.4876,1
ES.1477,RO.4907,1
ES.1480,RO.4612,1
ES.1480,RO.4687,1
ES.1481,RO.4765,1
ES.1481,RO.4803,1
ES.1481,RO.4876,1
ES.1481,RO.7602,1
ES.1483,MD.3982,1
GR.1485,GR.1618,1
GR.1485,GR.2615,1
GR.1485,GR.2917,1
IT.1487,GR.2615,1
ES.1488,NO.3042,1
ES.1488,NO.8130,1
GR.1493,NO.2950,1
GR.1493,NO.8141,1
GR.1494,NO.8142,1
GR.1494,NO.9006,1
GR.1495,EE.4274,1
GR.1495,EE.4275,1
GR.1496,FI.5227,1
GR.1496,FI.5228,1
GR.1497,FI.5234,1
GR.1497,FI.7902,1
GR.1498,FI.5203,1
GR.1498,FI.5239,1
GR.1498,FI.6530,1
CH.1502,FI.5202,1
CH.1502,FI.6530,1
GR.1504,LV.1637,1
GR.1504,LV.1692,1
CH.1508,LV.1650,1
IE.1509,LV.1701,1
IE.1509,LV.7839,1
IE.1512,LV.7628,1
IE.1512,LV.7863,1
IE.1513,LV.1641,1
IE.1513,LV.7840,1
IE.1514,LV.7870,1
IE.1514,LV.9011,1
IE.1515,LV.7826,1
IE.1515,LV.7840,1
IE.1516,LV.1644,1
IE.1516,LV.7810,1
IE.1517,LV.1676,1
IE.1530,LV.2342,1
IE.1530,LV.2388,1
PL.1533,LV.1696,1
PL.1533,LV.2675,1
PL.1533,LV.2895,1
PL.1533,LV.6404,1
PL.1536,EE.4269,1
PL.1536,EE.4270,1
PL.1536,LV.7613,1
PL.1537,LV.1693,1
PL.1537,LV.1694,1
PL.1538,LV.7613,1
PL.1538,LV.7850,1
FR.1542,LV.1728,1
FR.1542,LV.1729,1
GR.1552,LV.2167,1
GR.1552,LV.2316,1
GR.1553,LV.1736,1
GR.1553,LV.2167,1
GR.1554,LV.2101,1
GR.1554,LV.2328,1
GR.1555,LV.2315,1
GR.1555,LV.2328,1
FR.1556,LV.2361,1
FR.1556,LV.2801,1
FR.1556,LT.6322,1
FR.1556,LV.7870,1
FR.1556,LV.9011,1
GR.1557,LV.1678,1
GR.1557,LV.1699,1
BE.1559,LV.1700,1
GR.1560,LV.1680,1
GR.1560,LV.1681,1
GR.1562,LV.1739,1
GR.1562,LV.1743,1
GR.1562,LV.7620,1
GR.1563,LV.1699,1
GR.1564,LV.1697,1
GR.1564,LV.1698,1
GR.1565,LV.1686,1
GR.1565,LV.1687,1
GR.1565,LV.3037,1
NL.1566,LV.7621,1
GR.1567,LV.3037,1
GR.1567,LV.7854,1
GB.1568,LV.6619,1
GR.1569,LV.7850,1
GR.1571,LV.1695,1
GR.1572,LV.3953,1
GR.1573,LV.2675,1
GR.1573,LV.2895,1
GR.1573,LV.6404,1
GR.1573,LV.6405,1
GB.1574,LV.7621,1
GR.1575,LV.7620,1
GB.1577,LV.7855,1
GR.1578,LV.7622,1
GR.1579,LV.1708,1
GR.1579,LV.7624,1
GR.1580,LV.1706,1
GR.1580,LV.9013,1
GR.1582,LV.1706,1
GR.1582,LV.7856,1
RO.1590,LV.7610,1
RO.1592,LV.1711,1
RO.1592,LV.7629,1
RO.1593,LV.1715,1
RO.1593,LV.7853,1
RO.1595,LV.3954,1
RO.1599,LV.7619,1
RO.1603,LV.1730,1
RO.1604,LV.9010,1
RO.1606,LV.7615,1
RO.1608,LV.2315,1
RO.1609,LV.1742,1
RO.1609,LV.2480,1
RO.1611,LV.2195,1
RO.1611,LV.2260,1
RO.1614,LV.1743,1
RO.1614,LV.6409,1
RO.1614,LV.7620,1
MD.1616,LV.2801,1
MD.1616,LV.3967,1
GR.1617,LV.2346,1
GR.1618,LV.6408,1
GR.1618,LV.7620,1
NO.1621,RS.1745,1
NO.1621,RS.1748,1
NO.1622,RS.1764,1
NO.1624,RS.1765,1
NO.1624,RS.1767,1
NO.1624,RS.1775,1
NO.1625,RS.1749,1
NO.1625,RS.1750,1
NO.1625,RS.1753,1
NO.1625,RS.4900,1
NO.1626,RS.1750,1
NO.1627,RS.1750,1
NO.1627,RS.1784,1
EE.1630,RS.1773,1
EE.1631,RS.1754,1
EE.1631,RS.4900,1
FI.1632,RS.1756,1
FI.1633,RS.1759,1
FI.1633,RS.4901,1
FI.1633,RS.4930,1
FI.1634,RS.1779,1
FI.1634,RS.1785,1
FI.1635,RS.1760,1
FI.1635,RS.4930,1
LV.1636,RS.1761,1
LV.1637,RS.1762,1
LV.1638,RS.5548,1
LV.1639,RS.1764,1
LV.1639,RS.7560,1
LV.1640,RS.1767,1
LV.1641,RS.1768,1
