NodeID,NodeLabel,ICC,Lon,Lat,Country
LV.7854,Livani,LV,56.3503164999999,26.1808929999998,Latvia
LV.7855,Zilupe,LV,56.3917914999998,28.1170959999998,Latvia
LV.7856,Ligatne,LV,57.1841919999998,25.0233569999998,Latvia
DK.7857,Fredericia,DK,55.5679509999998,9.7392939999998,Denmark
DK.7858,Nyborg,DK,55.3134804999998,10.8018309999998,Denmark
DK.7859,Holbaek,DK,55.7152554999999,11.7088834999998,Denmark
DK.7860,Skive,DK,56.5621449999999,9.0230334999998,Denmark
LV.7861,Zemitani,LV,56.9663089999998,24.1573029999998,Latvia
LV.7862,Lielvarde,LV,56.7220869999999,24.8083629999998,Latvia
LV.7863,Ogre,LV,56.8154589999998,24.6028339999998,Latvia
LV.7864,Tornakalns,LV,56.9323929999999,24.0886029999998,Latvia
LV.7865,Riga pasazieru,LV,56.9463569999998,24.1197809999998,Latvia
LV.7866,Zasulauks,LV,56.9416579999999,24.0513409999998,Latvia
LV.7867,Ropazi,LV,57.0467874999998,24.4134554999998,Latvia
NO.7868,Steinkjer,NO,64.0122934999998,11.4938549999998,Norway
NO.7869,Oppdal,NO,62.5924574999998,9.6952009999998,Norway
LV.7870,Jelgava 2,LV,56.6508184999999,23.7552289999998,Latvia
SE.7871,Hudiksvall,SE,61.7241969999998,17.1100784999998,Sweden
SE.7872,Sandviken,SE,60.6140149999998,16.7775974999998,Sweden
NL.7873,Culemborg,NL,51.9459819999999,5.2271814999998,Netherlands
NL.7874,Vleuten,NL,52.1035959999998,5.00778399999979,Netherlands
NL.7875,Hillegom,NL,52.3084404999999,4.57156549999979,Netherlands
NL.7876,Voorschoten,NL,52.1281369999998,4.43535749999981,Netherlands
NL.7877,Almere Muziekwijk,NL,52.3696269999998,5.1927454999998,Netherlands
NL.7878,Diemen,NL,52.3438859999998,4.9697284999998,Netherlands
NL.7879,Rotterdam Blaak,NL,51.9206389999999,4.48723199999981,Netherlands
NL.7880,Duiven,NL,51.9421479999998,6.01822299999981,Netherlands
SE.7881,Atvidaberg,SE,58.2044394999998,16.0015844999998,Sweden
SE.7882,Timra,SE,62.4853649999998,17.3304034999998,Sweden
SE.7883,Kungsoer,SE,59.4281449999998,16.1094394999998,Sweden
SE.7884,Norrkoepings Central,SE,58.5977764999998,16.1828224999998,Sweden
SE.7885,Enkoeping,SE,59.6452849999998,17.0887559999998,Sweden
SE.7886,Aengelholm,SE,56.2451619999998,12.8540539999998,Sweden
